id,title,description,price,status,image
1,Titanium Pedals,For all your pedaling needs.,125.19,0,default-image.jpg
2,Comfy seat,The comfiest seat you’ll ever use.,55.99,0,default-image.jpg
3,Brand New Chain,Cause you don’t want to leave home without it.,12.49,0,default-image.jpg
4,Moe’s Bike Lock,"Keep your bike from getting stolen, guaranteed!* *Not actually guaranteed.",29.99,0,default-image.jpg
5,Swish Handlebar Pads,Cause those bars get cold.,2.29,0,default-image.jpg
6,GoPro,Tape all your sick fails.,399,0,default-image.jpg
7,BrightLight Bike Light,"Light your way with this ultra bright, battery operated light. Snaps onto your handlebars for easy usage and snaps off when you’re done! Light has three modes: steady light, blinking, and red. ",12.49,0,default-image.jpg
8,Tire caps,You know what these are.,0.99,0,default-image.jpg
9,"Wheel Master Rear Bicycle Wheel, Silver",Cause you can’t go without it.,29.99,0,default-image.jpg
10,Black Ops Axle Pegs,Please don’t sue us if you crash while using these.,21.29,0,default-image.jpg
11,Knight Composites Race Carbon 29” Disc Rim,"The perfect partner for race day, dedicated to speed for the ultimate in performance.",679.79,0,default-image.jpg
12,SE Bikes Club 24” Tire Red,A red tire.,19.99,0,default-image.jpg
13,Hippie Dippie’s Bike Basket,For storage and stuff.,34.59,1,default-image.jpg
