"id","duration","start_date","start_station_id","end_date","end_station_id","bike_id","subscription_type","zip_code","created_at","updated_at"
1,159,"2013-01-09 00:23:00",25,"2013-01-09 00:25:00",21,239,"Subscriber",94063,"2018-09-11 15:22:37.889172","2018-09-11 15:22:37.889172"
2,39751,"2013-01-09 04:06:00",11,"2013-01-09 15:08:00",10,30,"Customer",95035,"2018-09-11 15:22:37.92851","2018-09-11 15:22:37.92851"
3,2619,"2013-01-09 10:41:00",13,"2013-01-09 11:24:00",6,146,"Customer",95112,"2018-09-11 15:22:38.114395","2018-09-11 15:22:38.114395"
4,1289,"2013-01-09 11:30:00",8,"2013-01-09 11:51:00",14,76,"Customer",95113,"2018-09-11 15:22:38.236948","2018-09-11 15:22:38.236948"
5,1106,"2013-01-09 11:33:00",8,"2013-01-09 11:51:00",14,89,"Customer",95113,"2018-09-11 15:22:38.260404","2018-09-11 15:22:38.260404"
6,491,"2013-01-09 11:50:00",6,"2013-01-09 11:59:00",13,40,"Customer",95112,"2018-09-11 15:22:38.308117","2018-09-11 15:22:38.308117"
7,1391,"2013-01-09 11:52:00",14,"2013-01-09 12:15:00",14,89,"Customer",95113,"2018-09-11 15:22:38.322379","2018-09-11 15:22:38.322379"
8,1383,"2013-01-09 11:52:00",14,"2013-01-09 12:15:00",14,76,"Customer",95113,"2018-09-11 15:22:38.326286","2018-09-11 15:22:38.326286"
9,2628,"2013-01-09 11:59:00",2,"2013-01-09 12:43:00",6,245,"Customer",94127,"2018-09-11 15:22:38.371554","2018-09-11 15:22:38.371554"
10,1258,"2013-01-09 12:20:00",14,"2013-01-09 12:41:00",8,89,"Customer",95113,"2018-09-11 15:22:38.454647","2018-09-11 15:22:38.454647"
11,1249,"2013-01-09 12:20:00",14,"2013-01-09 12:41:00",8,76,"Customer",95113,"2018-09-11 15:22:38.463755","2018-09-11 15:22:38.463755"
12,1158,"2013-01-09 12:51:00",2,"2013-01-09 13:10:00",9,96,"Subscriber",94040,"2018-09-11 15:22:38.544851","2018-09-11 15:22:38.544851"
13,26128,"2013-01-09 12:56:00",21,"2013-01-09 20:12:00",21,205,"Customer",94063,"2018-09-11 15:22:38.55641","2018-09-11 15:22:38.55641"
14,26100,"2013-01-09 12:57:00",21,"2013-01-09 20:12:00",21,217,"Customer",94063,"2018-09-11 15:22:38.564241","2018-09-11 15:22:38.564241"
15,814,"2013-01-09 13:12:00",2,"2013-01-09 13:25:00",3,37,"Customer",94116,"2018-09-11 15:22:38.604508","2018-09-11 15:22:38.604508"
